,open,high,low,close,volume
20220908,14390,14420,14200,14280,22736726
20220907,14420,14420,14030,14210,30747396
20220906,14670,14830,14515,14625,22557031
20220905,14635,14880,14500,14620,22465883
20220902,14890,14935,14500,14620,26139881
20220901,15095,15130,14765,14775,26337404
20220831,14980,15630,14945,15510,20616200
20220830,15100,15290,15045,15290,16748440
20220829,14940,15080,14900,14970,19459348
20220826,15835,15980,15690,15720,15454712
20220825,15430,15705,15425,15705,15827923
20220824,15300,15415,15195,15335,17096790
20220823,15400,15515,15185,15215,21784794
20220822,15665,15780,15550,15615,17787376
20220819,16240,16240,15995,16035,15094655
20220818,16105,16295,15970,16235,18202707
20220817,16600,16675,16320,16360,17277885
20220816,16650,16705,16490,16530,16490523
20220812,16295,16480,16270,16435,18673576
20220811,16150,16315,16140,16310,21840168
20220810,15990,16045,15755,15790,19745146
20220809,16095,16220,15915,16180,20693875
20220808,15940,16100,15885,16060,13898686
20220805,16010,16230,16010,16140,20523546
20220804,15985,16025,15815,15920,22002631
20220803,15560,15760,15440,15760,19027203
20220802,15675,15675,15445,15555,20449364
20220801,15680,15855,15505,15705,22393212
20220729,15825,16010,15630,15730,29840248
20220728,15670,15820,15505,15585,30062444
20220727,15380,15415,15185,15395,22545475
20220726,15180,15420,15130,15400,16064927
20220725,15070,15440,15050,15290,26333623
20220722,15295,15505,15145,15180,27900894
20220721,15100,15400,15050,15370,28007280
20220720,15295,15375,14990,15040,34719345
20220719,14810,14845,14650,14810,21144443
20220718,14590,14955,14540,14930,35240665
20220715,14290,14325,13770,14295,48029861
20220714,13985,14325,13930,14105,29100528
20220713,14140,14405,14070,14225,29322321
20220712,14235,14305,13915,14070,25550347
20220711,14600,14700,14330,14345,24036497
20220708,14580,14805,14520,14520,33772188
20220707,14020,14530,13970,14370,36540661
20220706,14245,14335,13780,13810,46229517
20220705,14265,14560,14140,14460,39109045
20220704,14015,14175,13735,14015,37294696
20220701,14460,14600,13805,14005,46736613
20220630,14655,14685,14305,14305,32945136
20220629,15020,15065,14785,14820,30816921
20220628,15120,15320,14975,15320,28934446
20220627,14940,15330,14670,15080,43062903
20220624,14255,14835,14180,14740,46830980
20220623,14385,14590,14000,14135,57281418
20220622,15285,15300,14320,14320,44761367
20220621,15100,15345,14900,15135,40974055
20220620,15605,15630,14695,14950,52735622
20220617,15105,15510,14995,15425,40023050
20220616,16040,16295,15625,15670,36024066
20220615,16185,16260,15480,15685,37271149
20220614,16000,16355,15855,16280,35641315
20220613,16945,17035,16425,16425,34435084
20220610,17740,17805,17515,17660,21081994
20220609,18055,18175,17890,18080,15801188
20220608,18150,18330,18070,18165,12436688
20220607,18535,18580,18030,18095,18756749
20220603,18880,18965,18695,18785,16152175
20220602,18735,18815,18500,18575,18195822
20220531,18820,19055,18600,18995,18266961
20220530,18750,18870,18590,18845,21093524
20220527,18400,18495,18295,18370,18914687
20220526,18085,18465,17840,17975,20592891
20220525,18175,18335,17925,18115,17633261
20220524,18470,18555,17970,17970,18588229
20220523,18730,18730,18440,18635,16824427
20220520,18015,18545,17995,18525,17937092
20220519,17600,17950,17555,17840,23421870
20220518,18515,18700,18300,18405,21621566
20220517,18055,18380,18040,18330,15228206
20220516,18400,18470,17920,17980,20348447
20220513,17560,18165,17505,18135,20107885
20220512,17500,17820,17290,17320,24216466
20220511,17765,17950,17635,17895,18777499
20220510,17825,17985,17365,17930,32486233
20220509,18275,18480,18050,18105,20102034
20220506,18570,18585,18355,18475,16342705
20220504,19080,19205,18855,18980,12879291
20220503,19000,19280,18895,18930,17237146
20220502,18775,19060,18770,19010,12572813
20220429,18585,19175,18485,19150,19226716
20220428,18395,18585,18150,18585,17097932
20220427,18020,18260,17930,18225,21586989
20220426,18665,18855,18615,18680,13611831
20220425,18705,18830,18510,18530,17772967
20220422,19200,19260,18990,19150,16071019
20220421,19550,19795,19500,19590,12141671
20220420,19350,19495,19130,19395,12809321
20220419,19190,19530,19145,19415,12154624
20220418,18765,19115,18685,19005,9241936
20220415,19100,19165,18900,19010,17374654
20220414,19580,19610,19300,19445,12252671
20220413,19075,19665,18990,19635,15863463
20220412,19020,19195,18790,18935,19387013
20220411,19105,19460,19015,19300,12602548
20220408,19355,19405,19085,19325,15956735
20220407,19530,19590,19200,19280,17045371
20220406,19975,20055,19810,19840,14118743
20220405,20445,20510,20150,20280,11652397
20220404,19930,20325,19810,20305,10471018
20220401,20165,20210,19905,20105,11811809
20220331,20215,20580,20210,20390,15020402
20220330,20465,20540,20210,20255,18143915
20220329,20150,20320,19990,20115,14829497
20220328,19730,20030,19550,19940,13510483
20220325,20190,20195,19825,19915,17333818
20220324,19895,20075,19755,20050,11729947
20220323,20115,20425,20040,20230,20369628
20220322,19535,19940,19530,19905,14264498
20220321,20090,20135,19520,19555,19520948
20220318,19755,19990,19675,19960,19741915
20220317,19995,20180,19860,19860,24281075
20220316,19145,19340,18850,19290,23073666
20220315,18910,19015,18625,18750,16827155
20220314,19100,19300,18915,19095,17391410
20220311,19245,19310,18945,19150,18554961
20220310,19280,19485,19230,19325,17339239
20220308,18450,18960,18360,18525,20678392
20220307,19200,19255,18820,18990,24974732
20220304,20390,20390,19770,19925,24287370
20220303,20150,20585,20105,20530,17166383
20220302,19990,20090,19755,19830,15887427
20220228,19445,19935,19315,19935,19748801
20220225,19600,19880,19460,19655,25931482
20220224,19775,19885,19125,19225,38103281
20220223,20470,20540,20095,20320,18999803
20220222,20055,20345,19890,20170,28977063
20220221,20080,20770,19915,20770,19271863
20220218,20450,20870,20335,20750,19937577
20220217,20700,21275,20450,20905,32906369
20220216,20365,20660,20325,20640,13988490
20220215,20280,20335,19715,19920,16894274
20220214,20375,20500,19875,20165,21057688
20220211,20700,21040,20545,20740,15228987
20220210,21070,21215,20840,21110,19862514
20220209,20585,20790,20470,20780,18359218
20220208,20465,20635,19935,20215,19572808
20220207,20310,20365,19760,20125,24357074
20220204,20195,20585,20050,20530,24106136
20220203,20340,20555,20050,20050,25380391
20220128,18900,19755,18555,19700,37275436
20220127,20100,20175,18690,18715,42182962
20220126,20340,20485,19955,20005,26430673
20220125,21105,21105,19940,20155,45862746
20220124,21580,21685,21000,21170,23687147
20220121,21730,21840,21400,21675,25150888
20220120,21935,22185,21745,22175,16587457
20220119,21920,22360,21770,21925,17884989
20220118,22740,22810,22115,22265,17672517
20220117,22930,22975,22335,22620,20576706
20220114,23385,23385,22845,22930,19928098
20220113,23985,24040,23620,23655,9852017
20220112,23465,23930,23465,23910,15721323
20220111,23090,23345,22885,23135,15460780
20220110,23295,23335,22670,22985,16135231
20220107,23120,23475,23035,23380,14437013
20220106,22920,23370,22800,22850,21266589
20220105,23820,23885,23005,23265,18355778
20220104,24030,24120,23700,23945,14785180
20220103,24145,24455,23840,23990,15020352
20211230,24230,24355,23805,23870,14075485
20211229,24290,24485,24125,24165,13426106
20211228,24050,24230,23720,24225,12921114
20211227,24180,24225,23895,23905,9652409
20211224,23995,24360,23995,24180,12209425
